customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
95822412,Female,0,No,No,36,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),77.89,2881.93,No
24942603,Male,1,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,558.0,No
13356886,Male,0,Yes,Yes,48,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,88.73,4347.77,No
46913810,Male,0,No,No,52,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,67.74,3590.22,No
42868828,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,84.37,3294.65,No
39958838,Female,0,Yes,No,9,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,34.87,348.7,Yes
28728463,Female,0,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,61.97,545.34,No
23756669,Male,1,No,No,12,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),106.93,1390.09,No
83197857,Male,0,No,No,17,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,47.14,839.09,No
21668732,Male,1,No,Yes,11,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,60.28,723.36,No
89254563,Female,0,No,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,97.07,6989.04,No
66629388,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),90.89,454.45,No
14265799,Male,0,No,Yes,6,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.7,711.9,No
13999315,Female,0,No,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),48.58,728.7,Yes
22575562,Female,0,No,No,66,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,65.32,4376.44,No
39345092,Female,1,No,No,17,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),43.06,775.08,No
41227216,Female,1,Yes,No,37,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,41.24,1567.12,No
77827638,Male,1,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),41.4,1076.4,No
90801586,Female,0,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,68.78,2599.88,No
13561597,Female,0,Yes,No,58,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,117.61,6938.99,No
85329037,Male,0,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),108.08,5620.16,No
36687537,Female,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,86.19,2844.27,No
97226012,Female,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),42.64,895.44,Yes
83140807,Female,0,Yes,No,16,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.4,669.8,No
66306997,Female,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,61.33,3802.46,No
39587039,Male,0,No,Yes,58,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),82.27,4853.93,No
70291817,Female,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,86.74,156.13,No
89089901,Male,0,No,No,63,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),77.19,4944.02,Yes
47338124,Male,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,67.21,1680.25,No
10872248,Female,0,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,76.42,3133.22,No
31429110,Male,0,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),53.48,1016.12,No
66722344,Female,0,Yes,Yes,37,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),26.73,1017.08,No
55667651,Female,0,No,Yes,24,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),61.32,1533.0,No
47295260,Male,0,Yes,No,38,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),75.49,2944.11,Yes
30868105,Male,0,No,Yes,3,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,66.16,264.64,No
38898923,Male,0,Yes,No,2,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,24.26,72.78,No
55176955,Female,0,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,63.63,2163.42,No
23718431,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,51.61,516.1,No
22448136,Male,0,No,Yes,26,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),110.09,2972.43,No
60992979,Female,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),86.85,86.85,No
22981052,Female,0,No,No,43,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,18.0,792.9,No
58181396,Male,0,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),71.52,3719.04,No
56164955,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.9,897.5,Yes
91030736,Male,0,Yes,Yes,64,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,26.42,1717.3,Yes
45503389,Female,0,Yes,Yes,10,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,18.0,198.0,No
15831819,Male,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),96.3,6548.4,No
71662963,Female,0,Yes,No,14,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,100.39,1505.85,Yes
81971316,Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),25.0,1426.25,No
26753883,Male,1,No,No,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),103.57,6628.48,No
60806024,Female,0,Yes,No,10,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),133.08,1437.26,Yes
20576383,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,63.8,1276.0,No
84093639,Male,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,42.9,1287.0,No
49349722,Male,0,No,No,9,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),67.81,678.1,Yes
94374605,Male,0,No,Yes,53,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,105.06,5673.24,No
93016315,Male,0,Yes,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),109.48,6349.84,Yes
58537831,Male,0,No,No,28,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,68.94,1985.47,No
87490893,Female,1,No,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.43,42.43,Yes
35808537,Female,0,Yes,No,57,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,77.29,4482.82,Yes
19335534,Female,0,No,Yes,20,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,67.07,1408.47,No
16150444,Female,1,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),73.57,1107.23,No
98753260,Female,0,No,No,66,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),58.4,3912.8,No
40587988,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,75.75,2503.54,No
48840994,Male,0,Yes,No,37,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,18.0,684.9,No
